district,actual_mean,predict_mean,mean_diff
Binh Thanh,129.15364583333334,121.24679487179488,7.906850961538467
District 1,107.421875,119.2051282051282,11.783253205128204
District 10,117.65885416666667,107.93910256410257,9.719751602564102
District 2,112.41666666666667,113.87179487179488,1.4551282051282044
District 3,104.63541666666667,100.31089743589743,4.324519230769241
District 6,128.375,97.00641025641026,31.368589743589737
District 7,97.16666666666667,118.79166666666667,21.625
District 9,116.04427083333333,113.95192307692308,2.0923477564102484
Tan Phu,126.53645833333333,122.1826923076923,4.353766025641022
Thu Duc,118.40625,128.34615384615384,9.93990384615384
