timestamp,district,aqi
2025-11-18 00:00:00,Binh Thanh,134
2025-11-18 01:00:00,Binh Thanh,137
2025-11-18 02:00:00,Binh Thanh,121
2025-11-18 03:00:00,Binh Thanh,104
2025-11-18 04:00:00,Binh Thanh,107
2025-11-18 05:00:00,Binh Thanh,87
2025-11-18 06:00:00,Binh Thanh,86
2025-11-18 07:00:00,Binh Thanh,86
2025-11-18 08:00:00,Binh Thanh,105
2025-11-18 09:00:00,Binh Thanh,125
2025-11-18 10:00:00,Binh Thanh,110
2025-11-18 11:00:00,Binh Thanh,97
2025-11-18 12:00:00,Binh Thanh,94
2025-11-18 13:00:00,Binh Thanh,94
2025-11-18 14:00:00,Binh Thanh,86
2025-11-18 15:00:00,Binh Thanh,106
2025-11-18 16:00:00,Binh Thanh,121
2025-11-18 17:00:00,Binh Thanh,111
2025-11-18 18:00:00,Binh Thanh,118
2025-11-18 19:00:00,Binh Thanh,126
2025-11-18 20:00:00,Binh Thanh,113
2025-11-18 21:00:00,Binh Thanh,121
2025-11-18 22:00:00,Binh Thanh,128
2025-11-18 23:00:00,Binh Thanh,130
2025-11-19 00:00:00,Binh Thanh,127
2025-11-19 01:00:00,Binh Thanh,141
2025-11-19 02:00:00,Binh Thanh,134
2025-11-19 03:00:00,Binh Thanh,128
2025-11-19 04:00:00,Binh Thanh,138
2025-11-19 05:00:00,Binh Thanh,150
2025-11-19 06:00:00,Binh Thanh,169
2025-11-19 07:00:00,Binh Thanh,149
2025-11-19 08:00:00,Binh Thanh,155
2025-11-19 09:00:00,Binh Thanh,146
2025-11-19 10:00:00,Binh Thanh,146
2025-11-19 11:00:00,Binh Thanh,161
2025-11-19 12:00:00,Binh Thanh,166
2025-11-19 13:00:00,Binh Thanh,170
2025-11-19 14:00:00,Binh Thanh,161
2025-11-19 15:00:00,Binh Thanh,166
2025-11-19 16:00:00,Binh Thanh,149
2025-11-19 17:00:00,Binh Thanh,164
2025-11-19 18:00:00,Binh Thanh,164
2025-11-19 19:00:00,Binh Thanh,158
2025-11-19 20:00:00,Binh Thanh,165
2025-11-19 21:00:00,Binh Thanh,159
2025-11-19 22:00:00,Binh Thanh,149
2025-11-19 23:00:00,Binh Thanh,156
2025-11-20 00:00:00,Binh Thanh,145
2025-11-20 01:00:00,Binh Thanh,156
2025-11-20 02:00:00,Binh Thanh,138
2025-11-20 03:00:00,Binh Thanh,135
2025-11-20 04:00:00,Binh Thanh,124
2025-11-20 05:00:00,Binh Thanh,113
2025-11-20 06:00:00,Binh Thanh,110
2025-11-20 07:00:00,Binh Thanh,126
2025-11-20 08:00:00,Binh Thanh,131
2025-11-20 09:00:00,Binh Thanh,118
2025-11-20 10:00:00,Binh Thanh,137
2025-11-20 11:00:00,Binh Thanh,129
